linha,seq,sequencia,atividade,grupo,status,inicio,fim,motivo_nao_persistir,is_visible
32,N/A,SI,N/A,N/A,N/A,N/A,N/A,Seq inválido ou vazio | Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
33,N/A,SI,CARKPW01A,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
34,N/A,SI,CARKPW02,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
35,N/A,SI,CARKPW03,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
36,N/A,SI,CARKPX01,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
37,N/A,SI,CARKPX02,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
38,N/A,SI,CARKPX03,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
39,N/A,SI,CARKPX04A,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
40,N/A,SI,CARKPX04B,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
13,19,REDE,CRQ SI,N/A,N/A,2026-01-31 19:00:00,2026-01-31 23:00:00,Grupo E Status vazios/N/A (is_visible=0),0
14,19,REDE,CRQ Openshift,N/A,N/A,2026-01-31 19:00:00,2026-01-31 23:00:00,Grupo E Status vazios/N/A (is_visible=0),0
15,19,REDE,CRQ NAS,N/A,N/A,2026-01-31 18:50:00,2026-01-31 23:00:00,Grupo E Status vazios/N/A (is_visible=0),0
46, ROLLBACK,REDE,N/A,N/A,N/A,N/A,N/A,Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
15,N/A,OPENSHIFT,CRQ NFS,N/A,N/A,2026-01-31 20:30:00,2026-01-31 23:30:00,Seq inválido ou vazio | Grupo E Status vazios/N/A (is_visible=0),0
16,N/A,OPENSHIFT,VIRADA da REDE,N/A,N/A,2026-01-31 23:00:00,2026-02-01 01:45:00,Seq inválido ou vazio | Grupo E Status vazios/N/A (is_visible=0),0
23, ROLLBACK,OPENSHIFT,N/A,N/A,N/A,N/A,N/A,Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
11, ROLLBACK,NFS,N/A,N/A,N/A,N/A,N/A,Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
18, ROLLBACK,SI,N/A,N/A,N/A,N/A,N/A,Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
21,N/A,SI,ATIVIDADE DE ROLLBACK - EXECUTAR VIRADA DE PRODUÇÃO PARA SCN,ORACLE_N2,Concluído,2026-02-01 08:30:00,2026-02-01 09:30:00,Seq inválido ou vazio,0
29,N/A,SI,N/A,N/A,N/A,N/A,N/A,Seq inválido ou vazio | Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
30,N/A,SI,N/A,N/A,N/A,N/A,N/A,Seq inválido ou vazio | Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
31,N/A,SI,N/A,N/A,N/A,N/A,N/A,Seq inválido ou vazio | Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
32,N/A,SI,CARKPW01A,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
33,N/A,SI,CARKPW02,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
34,N/A,SI,CARKPW03,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
35,N/A,SI,CARKPX01,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
36,N/A,SI,CARKPX02,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
37,N/A,SI,CARKPX03,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
38,N/A,SI,CARKPX04A,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
39,N/A,SI,CARKPX04B,COFRE DE SENHAS - PRD,N/A,N/A,N/A,Seq inválido ou vazio | Sem início ou fim válido,0
